poi_id,poi_ind,rec_id,rec_ind
sg:0001dabdf48949818a9321a48664ed7d,0,sg:73952d46bfbb4d748520de693e4968f2,2428
sg:000341e847414dd8b6c56938355c6133,1,sg:e3183a5810b0453f9d9199be8e450994,4531
sg:000ea200746a4572b9d93af810d00470,2,sg:024738bfbbf74431b9aaa90324c1653b,46
sg:001686fe47e74c40892f7738ff8b9a45,3,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:001b883fbd644444a2d9480fd269a8ef,4,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:00211358bfb746819de1c04e9f712721,5,sg:fefcf7edbe4b486ca99f05bc2350fa7d,5061
sg:002710cb886647cebcf103057ef44abc,6,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:005c68b20fd64ea6914ddc6a7794ce10,7,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:005e0f9c1bdc42cc9c6e668363f71ad3,8,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:0082b60532464b4e918e828d9df4a8f2,9,sg:63e7da40aba34b238263071871a79842,2132
sg:00848632de9541f586a50858f41b915d,10,sg:73952d46bfbb4d748520de693e4968f2,2428
sg:009f9c0aeb3b4a6aa72aed94ffeb0509,11,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:00c999ef297c4cafb8aa7c28d2aa72b1,12,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:00e1db445b264ff0a95c0ee548dd7484,13,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:00eed3aac56a4c09920eea2941b26585,14,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:00f49cd77148406fbc8d5a99c34b7805,15,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:00f8b8a08fc043ed9157ea3251e13a40,16,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:01056a6496674227aa556c0be6e9a0cf,17,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:011c1685931e4e2fb2c281a697c48f9c,18,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:0121dd4a84c6478597e4e4d73db9e28b,19,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:0138e05d9f1049d5aec85470149f4d18,20,sg:27f2186b419948c3bd92c5b910f000e7,930
sg:014c07eb90264f1593cbfc36613de819,21,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:0159a537a8204dbf936cc45ebe18aef2,22,sg:024738bfbbf74431b9aaa90324c1653b,46
sg:0167fe769e554c76a58cacf85e60fe58,23,sg:ab48b4066d7f4ece82cc5d26a8ce2df7,3491
sg:016999d5698049a997b30336f9dc9bff,24,sg:f8eac82189214f47b182f0ac8370efd2,4939
sg:016a003d39534758a479bf0a86d6a382,25,sg:b598c5c8b96b4dce9f1e2a7c4fedd9b3,3699
sg:0172625c4cea4dc7963915ad8fe42b6f,26,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:017fc6ae657b4ff1b355b1af6a22dedc,27,sg:4435703ae5b44067ae640db52da3459c,1502
sg:019b9ee803e144e296007d063a75b5f4,28,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:01a8350c14dd4a17b598392ee6a3536c,29,sg:f131fa73b3414f7dad65b75ce9da8d20,4775
sg:01b37907f1c84b44a274f39489a65b67,30,sg:b65e25fc66b74e65bec3fc230acbbe55,3709
sg:01c4b112e58a428eb2a71ef00c2b2d1f,31,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:01c99abc02134aa1a6b7993726f1cfdf,32,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
